AYDINLATMA,MESKEN,SANAYI,TARIMSAL_SULAMA,TICARETHANE,TUKETIM_GENEL_TOPLAM,TUKETIM_PAYI(%),BIYOKUTLE_LISANSSIZ,GUNES_LISANSSIZ,HIDROLIK_LISANSSIZ,RUZGAR_LISANSSIZ,LISANSSIZ_GENEL_TOPLAM,URETIM_LISANSLI,LISANSLI_ORAN,NUFUS,GSYH,ENLEM,BOYLAM,KUZEYDOĞU_SINIR_ENLEM,KUZEYDOĞU_SINIR_BOYLAM,GUNEYBATI_SINIR_ENLEM,GUNEYBATI_SINIR_BOYLAM,ALAN,TARIH,ILLER,BOLGE,YEAR
11014.46,174390.35,267887.46,2719.73,134988.63,591000.63,2.98,134.96,5876.2,0,0,6011.16,1677603.36,6.43,2220125,265645558.8,37,35.3213333,37.072004,35.461995,36.935523,35.174706,13844,2018-01-01,ADANA,AKDENIZ BOLGESI,2018
3070.63,24489.52,42137.01,284.27,24542.47,94523.9,0.48,0,6652.75,0,0,6652.75,54948.56,0.21,624513,265645558.8,37.7641667,38.2761667,37.825667,38.335465,37.717086,38.188188,7337,2018-01-01,ADIYAMAN,GUNEYDOGU ANADOLU BOLGESI,2018
6299.91,36551.75,59502.2,1601.76,53296.31,157251.93,0.79,0,14181.3,0,0,14181.3,71445.69,0.27,725568,265645558.8,38.76376,30.54034,38.802105,30.611167,38.714289,30.44232,14016,2018-01-01,AFYONKARAHISAR,EGE BOLGESI,2018
2746.45,14378.85,1193.78,1.33,13931.23,32251.64,0.16,0,0,0,0,0,0,0,539657,265645558.8,39.7216667,43.0566667,39.748605,43.085241,39.688144,43.001778,11099,2018-01-01,AGRI,DOGU ANADOLU BOLGESI,2018
2786.48,17795.76,19757.56,1180.53,15115.3,56635.63,0.29,39.13,5287.55,0,0,5326.68,4413.05,0.02,412172,265645558.8,38.36869,34.03698,38.446724,34.088698,38.297012,33.932515,7659,2018-01-01,AKSARAY,IC ANADOLU BOLGESI,2018
3301.7,17642.81,12380.35,128.65,15345.42,48798.92,0.25,0,764.38,0,0,764.38,54523.3,0.21,337508,265645558.8,40.65,35.8333333,40.672834,35.856321,40.636911,35.789091,5628,2018-01-01,AMASYA,KARADENIZ BOLGESI,2018
28854.49,400618.99,356830.68,2879.55,526605.95,1315789.65,6.63,554.77,7564.82,106.41,0,8226,775184.07,2.97,5503985,265645558.8,39.92077,32.85411,40.100981,33.024866,39.722821,32.499097,25632,2018-01-01,ANKARA,IC ANADOLU BOLGESI,2018
14704.35,228793.5,99862.57,6564.43,253459.66,603384.51,3.04,0,10792.97,0,0,10792.97,592209.98,2.27,2426356,265645558.8,36.88414,30.70563,36.975178,30.840953,36.785866,30.516095,20177,2018-01-01,ANTALYA,AKDENIZ BOLGESI,2018
1158.11,3251.84,86.59,0,6020.27,10516.8,0.05,0,0,0,0,0,9313.02,0.04,98907,265645558.8,41.110481,42.702171,41.121467,42.717129,41.09891,42.686418,4934,2018-01-01,ARDAHAN,DOGU ANADOLU BOLGESI,2018
2926.21,10581.94,4574.26,2.4,10346.23,28431.03,0.14,0,0,0,0,0,474133.27,1.82,174010,265645558.8,41.1833333,41.8166667,41.207078,41.854799,41.155415,41.777361,7393,2018-01-01,ARTVIN,KARADENIZ BOLGESI,2018
7508.83,85693.35,55991.21,1405.52,69234.44,219833.34,1.11,2020.66,7072.52,0,0,9093.18,512465.47,1.96,1097746,265645558.8,37.8444,27.8458,37.870997,27.885355,37.819573,27.790522,8116,2018-01-01,AYDIN,EGE BOLGESI,2018
